URN,LA,ESTAB,NOR,NORG,NORB,PNORG,PNORB,TSENELSE,PSENELSE,TSENELK,PSENELK,NUMEAL,NUMENGFL,NUMUNCFL,PNUMEAL,PNUMENGFL,PNUMUNCFL,PNUMFSM,NUMFSMEVER,PNUMFSMEVER
112456,815,6041,59,13,46,22,78,59,100,0,0,0,0,0,0,0,0,0,NP,NP
121293,815,2040,16,8,8,50,50,0,0,3,18.8,0,16,0,0,100,0,0,0,0
121294,815,2041,42,19,23,45.2,54.8,0,0,6,14.3,0,37,0,0,100,0,0,4,9.5
121295,815,2042,29,12,17,41.4,58.6,0,0,5,17.2,0,27,0,0,100,0,0,0,0
121296,815,2043,23,11,12,47.8,52.2,0,0,0,0,0,22,0,0,100,0,0,2,8.7
121300,815,2060,45,20,25,44.4,55.6,0,0,3,6.7,0,35,0,0,100,0,2.2,9,23.1
121301,815,2061,93,50,43,53.8,46.2,0,0,23,24.7,0,64,0,0,100,0,12.9,29,38.2
121302,815,2063,51,28,23,54.9,45.1,0,0,4,7.8,0,40,0,0,100,0,2,3,5.9
121303,815,2064,244,119,125,48.8,51.2,2,0.8,21,8.6,7,182,0,3.7,96.3,0,7,34,16
121304,815,2065,213,106,107,49.8,50.2,3,1.4,5,2.3,2,159,0,1.2,98.8,0,3.3,18,10
121305,815,2074,276,135,141,48.9,51.1,1,0.4,46,16.7,5,201,0,2.4,97.6,0,8.7,49,20.7
121306,815,2075,112,51,61,45.5,54.5,1,0.9,8,7.1,4,84,0,4.5,95.5,0,2.7,8,8
121307,815,2076,425,209,216,49.2,50.8,4,0.9,42,9.9,10,355,0,2.7,97.3,0,6.1,62,14.6
121308,815,2080,276,126,150,45.7,54.3,1,0.4,27,9.8,5,230,0,2.1,97.9,0,8,47,17
121309,815,2081,45,23,22,51.1,48.9,0,0,6,13.3,0,39,0,0,100,0,2.2,1,2.2
121310,815,2083,42,18,24,42.9,57.1,0,0,2,4.8,0,36,0,0,100,0,0,0,0
121311,815,2096,57,28,29,49.1,50.9,2,3.5,5,8.8,0,38,0,0,100,0,7,12,26.7
121312,815,2097,274,135,139,49.3,50.7,3,1.1,29,10.6,2,223,0,0.9,99.1,0,7.3,39,14.2
121313,815,2098,18,10,8,55.6,44.4,1,5.6,0,0,0,10,0,0,100,0,16.7,5,41.7
121314,815,2108,385,189,196,49.1,50.9,4,1,90,23.4,17,282,0,5.7,94.3,0,34.3,201,58.3
121316,815,2112,420,205,215,48.8,51.2,3,0.7,77,18.3,3,323,0,0.9,99.1,0,33.3,213,57.9
121317,815,2114,395,201,194,50.9,49.1,2,0.5,70,17.7,75,236,0,24.1,75.9,0,26.8,200,55.4
121319,815,2117,809,408,401,50.4,49.6,9,1.1,101,12.5,70,619,0,10.2,89.8,0,15.5,238,29.4
121321,815,2120,613,307,306,50.1,49.9,9,1.5,60,9.8,4,531,0,0.7,99.3,0,14.4,159,25.9
121322,815,2132,67,33,34,49.3,50.7,0,0,3,4.5,0,57,0,0,100,0,0,3,4.5
121323,815,2133,19,13,6,68.4,31.6,2,10.5,1,5.3,0,13,0,0,100,0,0,0,0
121324,815,2138,32,12,20,37.5,62.5,0,0,5,15.6,0,28,0,0,100,0,0,2,6.3
121326,815,2150,59,25,34,42.4,57.6,0,0,0,0,2,43,0,4.4,95.6,0,0,2,3.4
121327,815,2151,90,42,48,46.7,53.3,1,1.1,1,1.1,0,77,0,0,100,0,1.1,2,2.2
121330,815,2163,156,61,95,39.1,60.9,2,1.3,20,12.8,13,119,0,9.8,90.2,0,22.4,60,38.5
121331,815,2164,259,130,129,50.2,49.8,4,1.5,24,9.3,2,222,0,0.9,99.1,0,6.9,38,14.7
121332,815,2165,154,80,74,51.9,48.1,2,1.3,33,21.4,21,84,0,20,80,0,0,25,20.2
121333,815,2166,215,99,116,46,54,5,2.3,37,17.2,5,176,0,2.8,97.2,0,0,12,5.6
121334,815,2167,228,104,124,45.6,54.4,0,0,53,23.2,16,143,0,10.1,89.9,0,13.2,61,32.3
121336,815,2170,182,97,85,53.3,46.7,0,0,20,11,3,142,0,2.1,97.9,0,25.3,63,36.6
121337,815,2171,108,46,62,42.6,57.4,0,0,29,26.9,4,79,0,4.8,95.2,0,3.7,6,6
121338,815,2173,472,201,271,42.6,57.4,1,0.2,84,17.8,62,298,0,17.2,82.8,0,4.7,50,12
121341,815,2183,303,165,138,54.5,45.5,1,0.3,41,13.5,5,258,0,1.9,98.1,0,8.9,65,21.5
121342,815,2186,85,35,50,41.2,58.8,1,1.2,18,21.2,2,70,0,2.8,97.2,0,5.9,10,11.8
121343,815,2188,200,86,114,43,57,5,2.5,43,21.5,31,168,1,15.5,84,0.5,2.5,27,13.5
121344,815,2189,269,122,147,45.4,54.6,1,0.4,43,16,22,112,0,16.4,83.6,0,2.6,21,9.8
121345,815,2190,242,115,127,47.5,52.5,1,0.4,14,5.8,4,164,0,2.4,97.6,0,8.7,40,20.8
121346,815,2197,203,95,108,46.8,53.2,2,1,14,6.9,6,135,0,4.3,95.7,0,3.9,30,18.3
121349,815,2206,215,96,119,44.7,55.3,3,1.4,24,11.2,21,164,0,11.4,88.6,0,11.6,56,26
121350,815,2212,237,128,109,54,46,2,0.8,29,12.2,16,151,0,9.6,90.4,0,4.2,33,15.9
121353,815,2217,202,95,107,47,53,3,1.5,13,6.4,1,144,0,0.7,99.3,0,14.4,49,28.8
121355,815,2221,61,24,37,39.3,60.7,1,1.6,12,19.7,0,55,0,0,100,0,6.6,8,13.1
121356,815,2222,271,137,134,50.6,49.4,2,0.7,30,11.1,3,268,0,1.1,98.9,0,11.1,55,20.3
121357,815,2223,411,215,196,52.3,47.7,5,1.2,16,3.9,2,349,0,0.6,99.4,0,4.6,39,9.5
121358,815,2224,194,92,102,47.4,52.6,2,1,25,12.9,0,164,0,0,100,0,5.2,26,13.4
121359,815,2225,250,117,133,46.8,53.2,6,2.4,35,14,10,206,0,4.6,95.4,0,5.2,30,12
121361,815,2228,202,109,93,54,46,1,0.5,14,6.9,11,162,0,6.4,93.6,0,1,4,2
121362,815,2233,227,105,122,46.3,53.7,2,0.9,13,5.7,5,190,0,2.6,97.4,0,1.3,20,8.8
121363,815,2235,245,120,125,49,51,2,0.8,16,6.5,1,120,0,0.8,99.2,0,6.1,25,13
121364,815,2236,119,47,72,39.5,60.5,1,0.8,9,7.6,3,93,0,3.1,96.9,0,1.7,10,9.3
121365,815,2237,267,131,136,49.1,50.9,1,0.4,21,7.9,16,180,0,8.2,91.8,0,11.2,59,26.2
121368,815,2242,215,116,99,54,46,0,0,33,15.3,6,145,1,3.9,95.4,0.7,15.3,69,37.7
121369,815,2245,161,81,80,50.3,49.7,1,0.6,8,5,0,140,0,0,100,0,2.5,10,6.2
121370,815,2246,167,80,87,47.9,52.1,1,0.6,17,10.2,0,144,0,0,100,0,4.8,12,7.2
121371,815,2247,68,38,30,55.9,44.1,1,1.5,8,11.8,0,52,0,0,100,0,2.9,5,7.4
121372,815,2249,178,76,102,42.7,57.3,2,1.1,14,7.9,2,126,0,1.6,98.4,0,13.5,40,25.5
121373,815,2250,66,34,32,51.5,48.5,0,0,6,9.1,0,56,0,0,100,0,10.6,10,15.2
121374,815,2252,186,81,105,43.5,56.5,2,1.1,14,7.5,3,153,0,1.9,98.1,0,1.6,10,5.4
121376,815,2256,36,17,19,47.2,52.8,0,0,6,16.7,0,28,0,0,100,0,0,2,5.6
121377,815,2257,222,104,118,46.8,53.2,0,0,15,6.8,1,169,0,0.6,99.4,0,4.5,22,11
121378,815,2301,112,53,59,47.3,52.7,1,0.9,4,3.6,0,93,0,0,100,0,0.9,4,3.6
121380,815,2305,145,56,89,38.6,61.4,9,6.2,12,8.3,3,106,0,2.8,97.2,0,9,22,17.9
121382,815,2309,185,80,105,43.2,56.8,2,1.1,16,8.6,11,125,0,8.1,91.9,0,10.3,31,20
121383,815,2310,141,74,67,52.5,47.5,0,0,6,4.3,2,118,0,1.7,98.3,0,3.5,12,8.5
121385,815,2312,54,36,18,66.7,33.3,0,0,3,5.6,1,46,0,2.1,97.9,0,13,11,20.4
121386,815,2314,163,83,80,50.9,49.1,1,0.6,21,12.9,0,149,0,0,100,0,14.1,36,22.1
121387,815,2316,142,57,85,40.1,59.9,0,0,12,8.5,2,120,0,1.6,98.4,0,2.1,3,2.1
121388,815,2317,138,72,66,52.2,47.8,1,0.7,10,7.2,5,112,0,4.3,95.7,0,2.9,14,10.1
121389,815,2318,10,6,4,60,40,0,0,0,0,2,8,0,20,80,0,0,0,0
121390,815,2320,60,34,26,56.7,43.3,0,0,2,3.3,0,49,0,0,100,0,5,8,13.3
121391,815,2321,68,44,24,64.7,35.3,0,0,3,4.4,0,47,0,0,100,0,0,2,3.6
121392,815,2324,69,31,38,44.9,55.1,0,0,8,11.6,0,61,0,0,100,0,11.6,11,15.9
121393,815,2327,61,20,41,32.8,67.2,1,1.6,10,16.4,0,49,0,0,100,0,1.6,1,1.6
121395,815,2329,323,161,162,49.8,50.2,14,4.3,24,7.4,80,163,0,32.9,67.1,0,9.6,52,18.1
121398,815,2332,246,130,116,52.8,47.2,6,2.4,62,25.2,16,171,0,8.6,91.4,0,11.8,45,20.6
121401,815,2335,54,25,29,46.3,53.7,0,0,5,9.3,1,39,0,2.5,97.5,0,11.1,12,22.2
121402,815,2336,62,29,33,46.8,53.2,1,1.6,6,9.7,0,54,0,0,100,0,6.5,12,19.4
121403,815,2337,140,72,68,51.4,48.6,2,1.4,8,5.7,1,118,0,0.8,99.2,0,3.6,15,10.7
121404,815,2338,77,44,33,57.1,42.9,0,0,13,16.9,1,69,0,1.4,98.6,0,10.4,12,15.6
121406,815,2343,31,15,16,48.4,51.6,0,0,5,16.1,0,28,0,0,100,0,0,2,6.5
121410,815,2347,47,22,25,46.8,53.2,0,0,7,14.9,0,41,0,0,100,0,4.3,7,14.9
121411,815,2348,79,41,38,51.9,48.1,1,1.3,0,0,3,60,0,4.8,95.2,0,5.1,4,5.1
121413,815,2350,80,42,38,52.5,47.5,0,0,6,7.5,0,67,0,0,100,0,5,11,13.8
121414,815,2351,378,197,181,52.1,47.9,5,1.3,54,14.3,56,207,0,21.3,78.7,0,25.1,152,48.9
121415,815,2354,65,35,30,53.8,46.2,1,1.5,4,6.2,1,59,0,1.7,98.3,0,10.8,10,15.4
121416,815,2355,43,22,21,51.2,48.8,1,2.3,6,14,29,3,0,90.6,9.4,0,11.6,8,21.1
121417,815,2356,221,97,124,43.9,56.1,2,0.9,13,5.9,7,183,0,3.7,96.3,0,0.9,8,3.6
121418,815,2357,191,94,97,49.2,50.8,1,0.5,21,11,1,160,0,0.6,99.4,0,2.1,16,8.4
121419,815,2358,77,32,45,41.6,58.4,0,0,4,5.2,0,61,0,0,100,0,0,0,0
121420,815,2359,205,95,110,46.3,53.7,1,0.5,27,13.2,0,175,0,0,100,0,2,18,8.8
121421,815,2360,76,41,35,53.9,46.1,0,0,10,13.2,0,66,0,0,100,0,6.6,7,9.2
121423,815,2363,222,114,108,51.4,48.6,3,1.4,11,5,0,189,0,0,100,0,8.1,42,18.9
121424,815,2364,550,291,259,52.9,47.1,8,1.5,88,16,43,386,0,10,90,0,13.3,104,21.3
121425,815,2365,242,129,113,53.3,46.7,3,1.2,18,7.4,6,175,0,3.3,96.7,0,12.8,61,28.9
121426,815,2366,127,53,74,41.7,58.3,2,1.6,13,10.2,5,58,0,7.9,92.1,0,9.4,20,21.3
121427,815,2367,138,63,75,45.7,54.3,0,0,23,16.7,8,130,0,5.8,94.2,0,8,24,17.4
121432,815,2377,413,183,230,44.3,55.7,1,0.2,31,7.5,7,351,1,1.9,97.8,0.3,3.9,23,5.6
121435,815,2380,217,106,111,48.8,51.2,3,1.4,35,16.1,4,167,0,2.3,97.7,0,6.9,31,15.9
121436,815,2381,263,133,130,50.6,49.4,2,0.8,38,14.4,7,224,0,3,97,0,6.8,27,10.3
121438,815,2383,178,91,87,51.1,48.9,0,0,21,11.8,11,138,0,7.4,92.6,0,8.4,29,16.3
121442,815,2388,172,87,85,50.6,49.4,2,1.2,28,16.3,8,115,0,6.5,93.5,0,14.5,39,26.5
121443,815,2389,211,93,118,44.1,55.9,4,1.9,31,14.7,1,180,0,0.6,99.4,0,4.7,23,10.9
121444,815,2390,290,132,158,45.5,54.5,3,1,31,10.7,29,187,0,13.4,86.6,0,22.8,110,43.3
121445,815,2391,193,103,90,53.4,46.6,0,0,17,8.8,0,139,0,0,100,0,1.6,15,8.9
121446,815,2392,125,53,72,42.4,57.6,2,1.6,6,4.8,0,94,0,0,100,0,6.4,18,16.5
121447,815,2393,378,200,178,52.9,47.1,3,0.8,15,4,6,270,0,2.2,97.8,0,5.3,47,14.2
121448,815,2400,180,89,91,49.4,50.6,1,0.6,34,18.9,32,104,0,23.5,76.5,0,11.7,42,26.1
121449,815,2401,366,172,194,47,53,6,1.6,86,23.5,2,281,0,0.7,99.3,0,6,47,14.5
121450,815,2402,173,81,92,46.8,53.2,4,2.3,21,12.1,3,153,0,1.9,98.1,0,3.5,21,12.1
121451,815,2403,248,133,115,53.6,46.4,1,0.4,47,19,0,179,0,0,100,0,12.9,58,28.2
121452,815,2404,76,40,36,52.6,47.4,0,0,7,9.2,0,68,0,0,100,0,2.6,3,3.9
121453,815,2405,67,38,29,56.7,43.3,0,0,10,14.9,1,50,0,2,98,0,6,5,8.6
121454,815,2406,34,17,17,50,50,1,2.9,6,17.6,0,24,0,0,100,0,29.4,13,43.3
121455,815,2407,148,67,81,45.3,54.7,2,1.4,8,5.4,0,132,0,0,100,0,0.7,10,6.8
121456,815,2408,606,272,334,44.9,55.1,8,1.3,129,21.3,34,440,0,7.2,92.8,0,14.2,132,23.8
121457,815,2410,195,90,105,46.2,53.8,3,1.5,19,9.7,4,166,0,2.4,97.6,0,5.6,22,11.3
121458,815,2411,149,79,70,53,47,3,2,26,17.4,2,112,0,1.8,98.2,0,15.4,33,24.6
121459,815,2413,232,125,107,53.9,46.1,1,0.4,35,15.1,1,231,0,0.4,99.6,0,15.9,78,33.6
121460,815,2418,200,118,82,59,41,2,1,29,14.5,6,164,0,3.5,96.5,0,1,10,5
121461,815,2421,351,175,176,49.9,50.1,3,0.9,25,7.1,7,215,0,3.2,96.8,0,5.4,48,17.8
121462,815,2422,111,51,60,45.9,54.1,2,1.8,8,7.2,3,80,0,3.6,96.4,0,9,22,22.7
121463,815,2424,196,98,98,50,50,0,0,36,18.4,16,180,0,8.2,91.8,0,12.8,59,30.1
121464,815,2425,220,110,110,50,50,0,0,24,10.9,7,107,0,6.1,93.9,0,12.7,37,21.3
121466,815,2427,442,204,238,46.2,53.8,6,1.4,48,10.9,0,340,0,0,100,0,1.1,25,6.4
121469,815,2430,152,74,78,48.7,51.3,1,0.7,23,15.1,12,106,0,10.2,89.8,0,20.4,48,34.8
121471,815,3000,85,51,34,60,40,3,3.5,9,10.6,2,75,0,2.6,97.4,0,8.2,8,9.4
121472,815,3001,61,29,32,47.5,52.5,0,0,8,13.1,4,43,0,8.5,91.5,0,8.2,7,11.5
121475,815,3005,30,16,14,53.3,46.7,0,0,1,3.3,0,16,0,0,100,0,6.7,3,15.8
121476,815,3006,13,9,4,69.2,30.8,0,0,2,15.4,0,12,0,0,100,0,0,0,0
121477,815,3008,37,16,21,43.2,56.8,0,0,1,2.7,1,13,0,7.1,92.9,0,2.7,3,16.7
121478,815,3009,36,19,17,52.8,47.2,0,0,4,11.1,0,28,0,0,100,0,0,0,0
121479,815,3010,346,173,173,50,50,2,0.6,14,4,11,281,0,3.8,96.2,0,7.2,45,13
121480,815,3012,14,3,11,21.4,78.6,1,7.1,2,14.3,1,12,0,7.7,92.3,0,14.3,2,14.3
121481,815,3015,212,94,118,44.3,55.7,1,0.5,15,7.1,1,181,0,0.5,99.5,0,4.2,17,8
121482,815,3016,23,17,6,73.9,26.1,0,0,2,8.7,0,22,0,0,100,0,0,0,0
121483,815,3020,97,51,46,52.6,47.4,0,0,6,6.2,0,83,0,0,100,0,1,3,3.1
121484,815,3021,96,52,44,54.2,45.8,0,0,6,6.3,1,80,0,1.2,98.8,0,4.2,7,7.3
121485,815,3022,120,60,60,50,50,4,3.3,2,1.7,0,97,0,0,100,0,0,4,3.6
121486,815,3025,37,18,19,48.6,51.4,1,2.7,1,2.7,0,32,0,0,100,0,2.7,1,2.7
121487,815,3027,92,49,43,53.3,46.7,4,4.3,8,8.7,1,69,0,1.4,98.6,0,4.3,6,7.1
121488,815,3030,35,16,19,45.7,54.3,0,0,2,5.7,0,24,0,0,100,0,5.7,2,6.3
121490,815,3034,26,11,15,42.3,57.7,0,0,3,11.5,0,20,0,0,100,0,7.7,2,7.7
121491,815,3035,92,43,49,46.7,53.3,0,0,12,13,0,84,0,0,100,0,16.3,23,25
121492,815,3039,27,13,14,48.1,51.9,1,3.7,9,33.3,0,18,0,0,100,0,0,1,4.8
121493,815,3040,33,20,13,60.6,39.4,0,0,7,21.2,0,30,0,0,100,0,3,3,9.1
121495,815,3042,52,30,22,57.7,42.3,0,0,5,9.6,2,37,0,5.1,94.9,0,3.8,2,3.8
121496,815,3045,36,22,14,61.1,38.9,1,2.8,2,5.6,0,29,0,0,100,0,0,1,2.8
121497,815,3046,72,41,31,56.9,43.1,1,1.4,6,8.3,0,63,0,0,100,0,2.8,7,9.7
121498,815,3050,59,31,28,52.5,47.5,0,0,7,11.9,0,54,0,0,100,0,11.9,9,15.3
121499,815,3053,176,75,101,42.6,57.4,3,1.7,10,5.7,5,131,0,3.7,96.3,0,5.1,32,19.6
121500,815,3054,32,19,13,59.4,40.6,0,0,2,6.3,0,25,0,0,100,0,0,1,3.1
121501,815,3055,84,47,37,56,44,0,0,6,7.1,0,76,0,0,100,0,2.4,4,4.8
121502,815,3057,79,42,37,53.2,46.8,1,1.3,12,15.2,1,60,0,1.6,98.4,0,6.3,22,31
121503,815,3060,40,27,13,67.5,32.5,3,7.5,7,17.5,0,34,0,0,100,0,12.5,6,15
121504,815,3062,126,68,58,54,46,2,1.6,29,23,6,92,0,6.1,93.9,0,3.2,6,5.5
121505,815,3065,31,11,20,35.5,64.5,0,0,2,6.5,1,17,0,5.6,94.4,0,0,1,4.2
121506,815,3068,126,61,65,48.4,51.6,1,0.8,11,8.7,0,104,0,0,100,0,3.2,7,5.6
121507,815,3069,90,43,47,47.8,52.2,2,2.2,12,13.3,0,68,0,0,100,0,6.7,11,13.4
121508,815,3076,28,12,16,42.9,57.1,1,3.6,6,21.4,1,25,0,3.8,96.2,0,7.1,2,7.1
121509,815,3079,148,70,78,47.3,52.7,0,0,8,5.4,0,133,0,0,100,0,4.1,10,6.8
121510,815,3088,30,15,15,50,50,0,0,0,0,0,25,0,0,100,0,6.7,2,6.7
121511,815,3090,65,28,37,43.1,56.9,0,0,13,20,0,57,0,0,100,0,13.8,9,13.8
121512,815,3092,219,91,128,41.6,58.4,4,1.8,12,5.5,2,174,0,1.1,98.9,0,12.8,52,27.2
121513,815,3099,75,43,32,57.3,42.7,1,1.3,5,6.7,0,63,0,0,100,0,4,6,8
121514,815,3101,79,42,37,53.2,46.8,0,0,11,13.9,0,67,0,0,100,0,0,4,5.1
121515,815,3108,50,21,29,42,58,0,0,9,18,0,34,0,0,100,0,6,8,20.5
121516,815,3109,94,43,51,45.7,54.3,3,3.2,9,9.6,0,78,0,0,100,0,5.3,8,8.5
121517,815,3110,31,18,13,58.1,41.9,1,3.2,2,6.5,0,28,0,0,100,0,0,0,0
121518,815,3113,76,34,42,44.7,55.3,0,0,10,13.2,0,64,0,0,100,0,2.6,3,3.9
121520,815,3117,187,105,82,56.1,43.9,1,0.5,6,3.2,0,121,0,0,100,0,5.9,18,12.5
121521,815,3119,28,10,18,35.7,64.3,0,0,5,17.9,0,23,0,0,100,0,10.7,5,17.9
121522,815,3120,108,50,58,46.3,53.7,1,0.9,10,9.3,0,92,0,0,100,0,2.8,11,10.2
121523,815,3122,38,21,17,55.3,44.7,0,0,7,18.4,0,31,0,0,100,0,5.3,5,13.2
121524,815,3124,45,22,23,48.9,51.1,1,2.2,9,20,0,41,0,0,100,0,0,7,15.6
121525,815,3126,101,59,42,58.4,41.6,1,1,5,5,2,87,0,2.2,97.8,0,7.9,13,12.9
121526,815,3130,43,19,24,44.2,55.8,1,2.3,10,23.3,0,40,0,0,100,0,2.3,4,9.3
121527,815,3133,49,24,25,49,51,1,2,7,14.3,0,44,0,0,100,0,16.3,12,24.5
121528,815,3139,75,45,30,60,40,0,0,8,10.7,0,65,0,0,100,0,6.7,10,13.3
121529,815,3150,114,58,56,50.9,49.1,2,1.8,11,9.6,0,99,0,0,100,0,2.6,14,12.3
121532,815,3153,139,71,68,51.1,48.9,2,1.4,2,1.4,2,119,0,1.7,98.3,0,0.7,5,3.6
121533,815,3154,249,119,130,47.8,52.2,0,0,37,14.9,1,129,0,0.8,99.2,0,14.9,44,22.7
121534,815,3155,123,63,60,51.2,48.8,0,0,17,13.8,1,108,0,0.9,99.1,0,4.1,19,15.4
121538,815,3160,65,31,34,47.7,52.3,1,1.5,8,12.3,2,53,0,3.6,96.4,0,12.3,15,23.1
121539,815,3161,33,15,18,45.5,54.5,2,6.1,5,15.2,0,29,0,0,100,0,15.2,11,33.3
121540,815,3163,50,24,26,48,52,0,0,7,14,0,38,0,0,100,0,12,7,16.3
121541,815,3165,67,35,32,52.2,47.8,0,0,19,28.4,1,52,0,1.9,98.1,0,10.4,7,11.3
121542,815,3207,15,5,10,33.3,66.7,0,0,0,0,0,14,0,0,100,0,0,1,6.7
121543,815,3208,28,14,14,50,50,1,3.6,3,10.7,1,27,0,3.6,96.4,0,0,0,0
121544,815,3210,315,158,157,50.2,49.8,0,0,31,9.8,6,266,0,2.2,97.8,0,7,40,12.7
121548,815,3223,53,25,28,47.2,52.8,1,1.9,11,20.8,0,43,0,0,100,0,3.8,3,5.7
